#test_name insert_ns delete_ns lookup_ns caller_ns total_ns
eb64-l10 67.164 4.913 393.754 74.076 539.907
ceb64-l10 77.186 48.960 436.871 36.258 599.275
ebmb-l10 80.531 3.074 482.947 36.228 602.78
cebb-l10 75.745 51.107 374.066 53.994 554.912
ebst-l10 105.887 3.935 591.348 55.707 756.877
cebs-l10 87.008 55.363 451.619 61.195 655.185
ebu64-l10 87.207 5.116 416.736 72.326 581.385
cebu64-l10 105.819 51.290 456.696 33.808 647.613
ebumb-l10 102.253 2.134 476.939 28.415 609.741
cebub-l10 106.776 52.776 432.769 51.298 643.619
ebust-l10 132.942 5.662 589.507 69.383 797.494
cebus-l10 119.798 67.235 531.133 58.231 776.397
