#test_name insert_ns delete_ns lookup_ns caller_ns total_ns
eb64-l1000 28.198 .058 482.283 72.070 582.609
ceb64-l1000 31.955 .588 523.462 32.486 588.491
ebmb-l1000 36.258 0 588.926 30.490 655.674
cebb-l1000 27.535 .742 454.314 47.964 530.555
ebst-l1000 53.735 .082 718.639 50.445 822.901
cebs-l1000 36.209 .887 540.354 56.694 634.144
ebu64-l1000 40.501 .063 521.366 73.883 635.813
cebu64-l1000 46.840 .646 568.744 29.850 646.08
ebumb-l1000 47.091 0 588.440 22.165 657.696
cebub-l1000 44.250 .628 537.351 46.326 628.555
ebust-l1000 74.224 .088 745.887 67.657 887.856
cebus-l1000 58.870 .933 667.334 50.551 777.688
